[5,1,Antti Jussila,Team Finland Joukahainen,Magnus 2,Mercenaries,Rudolf Edlmayer,0,3,8,Caster Kill,Incursion, 5,1,Rudolf Edlmayer,Team Hungary,Nemo 1,Cygnar,Antti Jussila,1,3,105,Caster Kill,Incursion]
[6,1,Alexander Grob,Team Austria Apfelstrudel,Caine 2,Cygnar,Olivier Gheysen ,0,0,52,Scenario,Incursion, 6,1,Olivier Gheysen ,Team UAE,Wurmwood 1,Circle Orboros,Alexander Grob,1,5,55,Scenario,Incursion]
[8,1,Daniel Pawelka,Team Austria Apfelstrudel,Calandra 1,Trollblood,Enrique Sanchez,1,1,68,Caster Kill,Incursion, 8,1,Enrique Sanchez,Team UAE,Haley 2,Cygnar,Daniel Pawelka,0,0,6,Caster Kill,Incursion]
[12,1,Dylan Simmer,Team Australia Echidna ,Rahn 1,Retribution of Scyrah,Tomaz Kovacic,1,0,61,Caster Kill,Incursion, 12,1,Tomaz Kovacic,Team Slovenia, Caine 2,Cygnar,Dylan Simmer,0,0,20,Caster Kill,Incursion]
[16,1,Bryce Johnston,Team Scotland Irn,Severius 1,Protectorate of Menoth,Fraser Phillips,1,0,48,Caster Kill,Incursion, 16,1,Fraser Phillips,Team Middle East,Caine 2,Cygnar,Bryce Johnston,0,5,13,Caster Kill,Incursion]
[19,1,Alasdair Johnstone,Team Scotland Irn,Haley 2,Cygnar,Joseph Hanna,1,5,39,Scenario,Incursion, 19,1,Joseph Hanna,Team Middle East,Xerxis 1,Skorne,Alasdair Johnstone,0,0,23,Scenario,Incursion]
[26,1,Dmitry Khalansky,Team Russia Bears,Haley 2,Cygnar,Julien Lesage,0,1,19,Scenario,Incursion, 26,1,Julien Lesage,Team USA Blue,Doomshaper 3,Trollblood,Dmitry Khalansky,1,5,23,Scenario,Incursion]
[35,1,Mats Aubell,Team Norway Blue,Madrak 2,Trollblood,Trevor Attridge,0,1,24,Scenario,Incursion, 35,1,Trevor Attridge,Team USA White,Haley 2,Cygnar,Mats Aubell,1,5,75,Scenario,Incursion]
[37,1,Wout Maerschalck,Team Belgium Prinzesschen,Sloan 1,Cygnar,Yang Song,1,1,46,Caster Kill,Incursion, 37,1,Yang Song,Team China Baizen,Ossyan 1,Retribution of Scyrah,Wout Maerschalck,0,0,16,Caster Kill,Incursion]
[40,1,Gua,Team China Baizen,Madrak 2,Trollblood,Tommy Geuns,0,2,38,Caster Kill,Incursion, 40,1,Tommy Geuns,Team Belgium Prinzesschen,Maddox 1,Cygnar,Gua,1,3,68,Caster Kill,Incursion]
[42,1,Ben Fuzi,Team Germany Black,Haley 2,Cygnar,Francesco Recchiuti,1,5,68,Caster Kill,Incursion, 42,1,Francesco Recchiuti,Team Italy Leonardo,Terminus 1,Cryx,Ben Fuzi,0,0,0,Caster Kill,Incursion]
[44,1,Dominik de Cassan,Team Germany Black,Directrix 1,Convergence of Cyriss,Vincenzo Rotondo,1,5,96,Scenario,Incursion, 44,1,Vincenzo Rotondo,Team Italy Leonardo,Haley 2,Cygnar,Dominik de Cassan,0,4,44,Scenario,Incursion]
[48,1,Bernhard Fischer,Team Germany Gold,Wurmwood 1,Circle Orboros,Daniel Porter,1,5,95,Scenario,Incursion, 48,1,Daniel Porter,Team Ireland Craic,Haley 2,Cygnar,Bernhard Fischer,0,3,36,Scenario,Incursion]
[52,1,Adam Fox,Team Northern Ireland,Xerxis 1,Skorne,Adam Szymanski,0,0,0,Caster Kill,Incursion, 52,1,Adam Szymanski,Team Poland Storks,Stryker 2,Cygnar,Adam Fox,1,0,62,Caster Kill,Incursion]
[59,1,Jaromir Skirmuntt,Team Poland Marmots,Ossyan 1 ,Retribution of Scyrah,Paulo Morais,1,5,98,Scenario,Incursion, 59,1,Paulo Morais,Team Portugal Prime,Haley 1,Cygnar,Jaromir Skirmuntt,0,0,33,Scenario,Incursion]
