"1","1","Jarkko Vahamaa","Team Finland Joukahainen","Kromac 2","Circle Orboros","Zoltán Gaál","1","5","68","Scenario","Incursion"
"1","1","Zoltán Gaál","Team Hungary","Venethrax 1","Cryx","Jarkko Vahamaa","0","0","58","Scenario","Incursion"
"2","1","Loránd Sövényházi","Team Hungary","Grissel 2 ","Trollblood","Tuomas Toimela","1","0","100","Caster Kill","Incursion"
"2","1","Tuomas Toimela","Team Finland Joukahainen","Rasheth 1","Skorne","Loránd Sövényházi","0","1","26","Caster Kill","Incursion"
"3","1","Gabor Wolf","Team Hungary","Butcher 1","Khador","Joonas Heinonen","0","0","71","Caster Kill","Incursion"
"3","1","Joonas Heinonen","Team Finland Joukahainen","Axis 1 ","Convergence of Cyriss","Gabor Wolf","1","0","122","Caster Kill","Incursion"
"4","1","Csaba Mile","Team Hungary","Vladimir 1","Khador","Jani Kautto","1","0","52","Caster Kill","Incursion"
"4","1","Jani Kautto","Team Finland Joukahainen","Thyra 1","Protectorate of Menoth","Csaba Mile","0","5","31","Caster Kill","Incursion"
"5","1","Antti Jussila","Team Finland Joukahainen","Magnus 2","Mercenaries","Rudolf Edlmayer","0","3","8","Caster Kill","Incursion"
"5","1","Rudolf Edlmayer","Team Hungary","Nemo 1","Cygnar","Antti Jussila","1","3","105","Caster Kill","Incursion"
"6","1","Alexander Grob","Team Austria Apfelstrudel","Caine 2","Cygnar","Olivier Gheysen ","0","0","52","Scenario","Incursion"
"6","1","Olivier Gheysen ","Team UAE","Wurmwood 1","Circle Orboros","Alexander Grob","1","5","55","Scenario","Incursion"
"7","1","john helzer","Team UAE","Madrak 2 ","Trollblood","Laszlo Vuray","1","3","95","Caster Kill","Incursion"
"7","1","Laszlo Vuray","Team Austria Apfelstrudel","Sturm & Drang 1","Minions","john helzer","0","1","46","Caster Kill","Incursion"
"8","1","Daniel Pawelka","Team Austria Apfelstrudel","Calandra 1","Trollblood","Enrique Sanchez","1","1","68","Caster Kill","Incursion"
"8","1","Enrique Sanchez","Team UAE","Haley 2","Cygnar","Daniel Pawelka","0","0","6","Caster Kill","Incursion"
"9","1","Daniel Maierl","Team Austria Apfelstrudel","Vyros 2","Retribution of Scyrah","nathan bosa","1","1","70","Caster Kill","Incursion"
"9","1","nathan bosa","Team UAE","Venethrax 1","Cryx","Daniel Maierl","0","0","0","Caster Kill","Incursion"
"10","1","Martin Florian","Team Austria Apfelstrudel","Butcher 3","Khador","Mike Dunlop","1","4","89","Caster Kill","Incursion"
"10","1","Mike Dunlop","Team UAE","Vladimir 3","Khador","Martin Florian","0","2","28","Caster Kill","Incursion"
"11","1","Chris Davies","Team Australia Echidna ","Strakhov 1","Khador","Jan Kleva Ivancic","1","1","83","Caster Kill","Incursion"
"11","1","Jan Kleva Ivancic","Team Slovenia","Butcher 3","Khador","Chris Davies","0","4","27","Caster Kill","Incursion"
"12","1","Dylan Simmer","Team Australia Echidna ","Rahn 1","Retribution of Scyrah","Tomaz Kovacic","1","0","61","Caster Kill","Incursion"
"12","1","Tomaz Kovacic","Team Slovenia"," Caine 2","Cygnar","Dylan Simmer","0","0","20","Caster Kill","Incursion"
"13","1","Jack Ding","Team Australia Echidna ","High Reclaimer 1 ","Protectorate of Menoth","Maksimiljan Galos ","1","0","78","Deathclock","Incursion"
"13","1","Maksimiljan Galos ","Team Slovenia","Wurmwood 1 ","Circle Orboros","Jack Ding","0","3","87","Deathclock","Incursion"
"14","1","Jean-Sebastien Imbeau","Team Slovenia","Durst 1","Protectorate of Menoth","Tom Guan","0","0","0","Caster Kill","Incursion"
"14","1","Tom Guan","Team Australia Echidna ","Wurmwood 1","Circle Orboros","Jean-Sebastien Imbeau","1","4","108","Caster Kill","Incursion"
"15","1","Brin Blatnik","Team Slovenia","Doomshaper 2","Trollblood","Colin Hill","0","1","38","Deathclock","Incursion"
"15","1","Colin Hill","Team Australia Echidna ","Rask 1","Minions","Brin Blatnik","1","5","85","Deathclock","Incursion"
"16","1","Bryce Johnston","Team Scotland Irn","Severius 1","Protectorate of Menoth","Fraser Phillips","1","0","48","Caster Kill","Incursion"
"16","1","Fraser Phillips","Team Middle East","Caine 2","Cygnar","Bryce Johnston","0","5","13","Caster Kill","Incursion"
"17","1","Bryce Geeraert","Team Middle East","Baldur 2","Circle Orboros","Michael Dick","0","4","55","Caster Kill","Incursion"
"17","1","Michael Dick","Team Scotland Irn","Tanith 1","Circle Orboros","Bryce Geeraert","1","5","108","Caster Kill","Incursion"
"18","1","Josh Blakemore","Team Middle East","Vindictus 1","Protectorate of Menoth","William Cruickshanks","0","4","2","Caster Kill","Incursion"
"18","1","William Cruickshanks","Team Scotland Irn","Directrix 1","Convergence of Cyriss","Josh Blakemore","1","5","124","Caster Kill","Incursion"
"19","1","Alasdair Johnstone","Team Scotland Irn","Haley 2","Cygnar","Joseph Hanna","1","5","39","Scenario","Incursion"
"19","1","Joseph Hanna","Team Middle East","Xerxis 1","Skorne","Alasdair Johnstone","0","0","23","Scenario","Incursion"
"20","1","Eric Liu ","Team Middle East","Witch coven 1","Cryx","Fraser McFetridge","0","1","42","Caster Kill","Incursion"
"20","1","Fraser McFetridge","Team Scotland Irn","Rask 1","Minions","Eric Liu ","1","0","86","Caster Kill","Incursion"
"21","1","Andy McBirnie","Team England Knights","Witch coven 1","Cryx","Dimitris Kasdiovasilis","1","4","105","Deathclock","Incursion"
"21","1","Dimitris Kasdiovasilis","Team Greece Prime","Ragnor 1","Trollblood","Andy McBirnie","0","1","63","Deathclock","Incursion"
"22","1","Andrew Kenny","Team England Knights","Madrak 2","Trollblood","Panagiotis Demiris","0","0","36","Scenario","Incursion"
"22","1","Panagiotis Demiris","Team Greece Prime","Naaresh 1","Skorne","Andrew Kenny","1","5","70","Scenario","Incursion"
"23","1","Chris Murdoch ","Team England Knights","Gorten 1 ","Mercenaries","Orestis Argiropoulos","0","0","2","Caster Kill","Incursion"
"23","1","Orestis Argiropoulos","Team Greece Prime","Skarre 1","Cryx","Chris Murdoch ","1","0","56","Caster Kill","Incursion"
"24","1","Andy Garrard","Team England Knights","Grissel 2","Trollblood","Nikos Kerazoglou","1","0","90","Caster Kill","Incursion"
"24","1","Nikos Kerazoglou","Team Greece Prime","Butcher 3","Khador","Andy Garrard","0","2","9","Caster Kill","Incursion"
"25","1","George Banavos","Team Greece Prime","Hexeris 2","Skorne","Jamie Cooke-Rogers","1","5","75","Scenario","Incursion"
"25","1","Jamie Cooke-Rogers","Team England Knights","Lylyth 3","Legion of Everblight","George Banavos","0","3","67","Scenario","Incursion"
"26","1","Dmitry Khalansky","Team Russia Bears","Haley 2","Cygnar","Julien Lesage","0","1","19","Scenario","Incursion"
"26","1","Julien Lesage","Team USA Blue","Doomshaper 3","Trollblood","Dmitry Khalansky","1","5","23","Scenario","Incursion"
"27","1","Jeremy Lee","Team USA Blue","Kaya 2","Circle Orboros","Mikhail Novikov","0","3","28","Scenario","Incursion"
"27","1","Mikhail Novikov","Team Russia Bears","Amon 1","Protectorate of Menoth","Jeremy Lee","1","5","61","Scenario","Incursion"
"28","1","Artem Volik","Team Russia Bears","Issyria 1","Retribution of Scyrah","Brian Marino","1","0","91","Caster Kill","Incursion"
"28","1","Brian Marino","Team USA Blue","Lylyth 3","Legion of Everblight","Artem Volik","0","2","26","Caster Kill","Incursion"
"29","1","Andrei Ivanov","Team Russia Bears","Witch coven 1","Cryx","Dan Yount","0","1","18","Scenario","Incursion"
"29","1","Dan Yount","Team USA Blue","Wurmwood 1 ","Circle Orboros","Andrei Ivanov","1","5","65","Scenario","Incursion"
"30","1","Bogdan Novikov","Team Russia Bears","Baldur 2","Circle Orboros","Jay Larsen","1","0","95","Caster Kill","Incursion"
"30","1","Jay Larsen","Team USA Blue","Ragnor 1","Trollblood","Bogdan Novikov","0","4","44","Caster Kill","Incursion"
"31","1","Asbjorn Willarsrud","Team Norway Blue","Wurmwood 1","Circle Orboros","Trevor Christensen","1","5","57","Scenario","Incursion"
"31","1","Trevor Christensen","Team USA White","Rasheth 1","Skorne","Asbjorn Willarsrud","0","0","3","Scenario","Incursion"
"32","1","Leif Henning Bohli","Team Norway Blue","Butcher 3","Khador","Michael Ireland","0","0","0","Caster Kill","Incursion"
"32","1","Michael Ireland","Team USA White","Ossyan 1","Retribution of Scyrah","Leif Henning Bohli","1","3","91","Caster Kill","Incursion"
"33","1","Brent Simon","Team USA White","Absylonia 2","Legion of Everblight","Endre Fodstad","1","5","104","Caster Kill","Incursion"
"33","1","Endre Fodstad","Team Norway Blue","Directrix 1","Convergence of Cyriss","Brent Simon","0","0","16","Caster Kill","Incursion"
